name,isosig,finite,fillings,betti
X_107,kvLAAzQkcdegfihjijjwnkdpsfxwle_BbBa,[],"{(0, 1): 'm007(4, 1)', (-1, 1): 's645(1, 3)', (1, 1): 's801(-5, 1)', (-2, 1): 'o9_39706(1, 2)'}",1
X_108,lLAvLAPQccbbfhfjkkjjkqhkqawhxhahq_BabB,[],"{(1, 2): 't11603(3, 4)', (-2, 1): 'o9_31294(-4, 3)', (1, 3): 'o9_42104(3, 4)', (3, 1): 'o9_41036(-4, 3)', (3, 2): 'o9_42876(3, 4)', (2, 1): 't10918(-4, 3)', (2, 3): 'o9_43186(3, 4)', (1, 1): 'm157(-5, 4)'}",1
X_109,lLAvLAPQccbbfhfjkkjjkqqjqawhxhahq_aBba,"[(1, 0)]","{(-2, 1): 'o9_31294(-5, 2)', (3, 1): 'o9_41036(-5, 2)', (3, 2): 'o9_42876(2, 5)', (2, 1): 't10918(-5, 2)', (2, 3): 'o9_43186(2, 5)', (1, 0): 'finite'}",1
X_110,lLAvLAPQccbbfhfjkkjjkqqnqawhxhahq_aBbB,[],"{(1, 2): 't11603(1, 4)', (-1, 1): 'v1125(5, 1)', (3, 1): 'o9_41036(-4, 1)', (3, 2): 'o9_42876(1, 4)', (-1, 2): 'o9_34762(-4, 1)', (-2, 1): 'o9_31118(4, 1)', (2, 1): 't10918(-4, 1)', (1, 3): 'o9_42104(1, 4)', (2, 3): 'o9_43186(1, 4)'}",1
X_111,lLAvLLQQcbcbfgjhiikkkxxjxosofrddx_abBa,[],"{(1, 2): 'v3231(-5, 1)', (3, 2): 't11916(-1, 5)', (1, 3): 't12038(5, 1)', (-1, 3): 't12258(-1, 5)', (5, 2): 'o9_37150(-1, 5)', (3, 1): 't10808(-1, 5)', (2, 1): 'v2495(5, 1)', (-2, 3): 't12510(-1, 5)', (2, 3): 't12309(5, 1)', (1, 4): 'o9_36312(-1, 5)', (4, 3): 'o9_36730(-1, 5)', (-4, 3): 'o9_37538(1, 5)', (3, 4): 'o9_37479(-1, 5)', (-1, 4): 'o9_36691(1, 5)', (-5, 2): 'o9_37639(1, 5)', (4, 1): 'o9_33256(-1, 5)', (-3, 4): 'o9_38101(1, 5)', (5, 3): 'o9_38087(-1, 5)'}",1
X_112,lLAvLMMQcbcbfhjiikkkjxxjxaxgbxhqn_aBbB,[],"{(1, 2): 'o9_40789(1, 4)', (-2, 3): 'o9_43549(-4, 1)', (-1, 1): 'm003(-1, 3)', (-1, 3): 'o9_43188(-4, 1)', (-1, 2): 't10636(5, 2)', (-2, 1): 'v3521(-5, 1)', (2, 1): 'o9_39067(1, 5)', (-3, 1): 'o9_41714(-5, 1)', (-3, 2): 'o9_43125(-4, 1)'}",1
X_113,lLAvLMMQccbbfhjiikkkjqqjqaqgbxhqj_BabB,[],"{(3, 2): 'o9_43716(-2, 5)', (3, 1): 'o9_42983(5, 2)', (2, 1): 't11421(5, 2)'}",1
X_114,lLAvLMMQccbbfhjiikkkjqqjqaqgbxhqn_BabB,"[(1, 0)]","{(3, 2): 'o9_42895(-2, 5)', (3, 1): 'o9_41366(5, 2)', (1, 0): 'finite', (2, 1): 't10636(5, 2)'}",1
X_115,lLAvLMMQccbbfhjiikkkjqqnqaqgbxhqj_BabB,[],"{(1, 2): 't11773(-1, 4)', (-1, 1): 'v1801(5, 1)', (3, 1): 'o9_42983(4, 1)', (3, 2): 'o9_43716(-1, 4)', (-1, 2): 'o9_37884(5, 1)', (-2, 1): 'o9_38274(4, 1)', (2, 1): 't10396(5, 2)', (1, 3): 'o9_43025(-1, 4)', (2, 3): 'o9_43740(-1, 4)'}",1
X_116,lLAvLMMQccbbfhjiikkkjqqnqaqgbxhqn_BabB,"[(1, 0)]","{(1, 2): 't11377(-1, 4)', (-1, 1): 'v1678(5, 1)', (3, 1): 'o9_41366(4, 1)', (3, 2): 'o9_42895(-1, 4)', (-1, 2): 'o9_36099(5, 1)', (-2, 1): 'o9_35197(4, 1)', (2, 1): 't10396(4, 1)', (1, 3): 'o9_42064(-1, 4)', (2, 3): 'o9_43130(-1, 4)', (1, 0): 'finite'}",1
X_117,lLAvLQLQccbbfhfijkkjkqqjqawgxxuqk_baBb,"[(1, 0)]","{(1, 0): 'finite', (-2, 1): 'o9_30634(5, 2)', (3, 1): 'o9_39376(5, 2)', (3, 2): 'o9_41380(-2, 5)', (2, 1): 't09776(2, 5)'}",1
X_118,lLAvLzQQccbbffijkijkkqqnqwnvucbad_aBbB,[],"{(1, 2): 't10439(1, 4)', (-1, 1): 's566(-5, 1)', (3, 1): 'o9_39376(4, 1)', (3, 2): 'o9_41380(-1, 4)', (-1, 2): 'o9_33440(5, 1)', (-2, 1): 'o9_30634(4, 1)', (2, 1): 't09776(1, 4)', (1, 3): 'o9_40409(-1, 4)', (2, 3): 'o9_41772(-1, 4)'}",1
X_119,lLAvPAPMcbcbgfhhijikkxxjqxabxxwqn_baBb,"[(1, 0)]","{(1, 2): 'v2133(-1, 5)', (-4, 1): 'o9_28448(-5, 4)', (3, 2): 'o9_21007(3, 4)', (1, 3): 'o9_23919(-1, 5)', (-3, 1): 't09868(-5, 4)', (2, 3): 'o9_24147(-4, 3)', (-3, 2): 'o9_28200(4, 5)', (1, 0): 'finite', (4, 1): 'o9_25796(1, 4)'}",1
